,price,bedrooms,bathrooms,sf,link,year_built,lot_size,view_description,on_waterfront,house_style,new_construction,garage_spaces
0,"$84,900", 2,2 ba,902 sqft,https://www.zillow.com/homedetails/106-Newton-Ln-Fairlee-VT-05045/115801008_zpid/,1960,"400,752 Acres",{},{}, Ranch, No, 1
0,"$335,000", 2,2 ba,"1,680 sqft",https://www.zillow.com/homedetails/2811-Gregg-Hill-Rd-Waterbury-Center-VT-05677/75471073_zpid/,1986,"304,920 Acres",{},{}, Cape, No, 0
0,"$899,000", 4,5 ba,"5,059 sqft",https://www.zillow.com/homedetails/404-Ridgefield-Rd-Shelburne-VT-05482/247016017_zpid/,1992,$375/yr,{},{}, Cape, No, 2
0,"$245,000", 3,2 ba,"1,268 sqft",https://www.zillow.com/homedetails/78-Gates-Rd-S-Mount-Holly-VT-05730/115789746_zpid/,1960,"174,240 Acres",{},{}, Cape, No, 0
0,"$374,000", 9,9 ba,"5,788 sqft",https://www.zillow.com/homedetails/225-Pleasant-St-Chester-VT-05143/115813941_zpid/,1861,"56,628 Acres",{},{}, Victorian, No, 2
0,"$360,000", 3,2 ba,"1,804 sqft",https://www.zillow.com/homedetails/39-Brook-Ln-Shelburne-VT-05482/220864247_zpid/,1962,"18,295 Acres",{},{}, Raised Ranch, No, 2
0,"$399,900", 3,2 ba,"1,693 sqft",https://www.zillow.com/homedetails/23-Bushey-Ln-Westford-VT-05494/220873891_zpid/,1975,"457,380 Acres",{},{}, Contemporary, No, 1
0,"$89,000", 4,1 ba,850 sqft,https://www.zillow.com/homedetails/1838-Brown-Schoolhouse-Rd-Reading-VT-05062/2089629606_zpid/,1975,"243,936 Acres",{},{}, Chalet, No, 0
0,"$249,900", 2,1 ba,904 sqft,https://www.zillow.com/homedetails/1711-Abbott-Hill-Rd-West-Burke-VT-05871/115794751_zpid/,2005,"614,196 Acres",{},{}," Cabin,Log Cabin", No, 2
0,"$165,000", 4,1 ba,"1,576 sqft",https://www.zillow.com/homedetails/1866-Robert-Young-Rd-Starksboro-VT-05487/81624195_zpid/,1969,"87,120 Acres",{},{}, Cape, No, 1
0,"$218,000", 3,2 ba,"2,099 sqft",https://www.zillow.com/homedetails/12-Ely-Rd-Fairlee-VT-05045/75447285_zpid/,1901,"6,970 Acres",{},{}," Antique,Historic Vintage", No, 0
0,"$393,000", 4,2 ba,"1,990 sqft",https://www.zillow.com/homedetails/53-Heath-Rd-Wolcott-VT-05680/92006678_zpid/,1860,"5,296,896 Acres",{},{}, Farmhouse, No, 4
0,"$99,900", 4,3 ba,"2,500 sqft",https://www.zillow.com/homedetails/50-Smead-Rd-Wardsboro-VT-05355/235263328_zpid/,1900,"26,136 Acres",{},{}, Farmhouse, No, 2
0,"$440,000", 4,4 ba,"3,992 sqft",https://www.zillow.com/homedetails/1442-Watkins-Hill-Rd-Poultney-VT-05764/250978093_zpid/,2001,"4,878,720 Acres", Mountain(s),{}," Contemporary,Ranch", No, 4
0,"$299,900", 4,2 ba,"2,129 sqft",https://www.zillow.com/homedetails/224-Quent-Phelan-Rd-Cavendish-VT-05142/2076740824_zpid/,1890,"222,156 Acres",{},{}, Farmhouse, No, 6
0,"$275,000", 2,2 ba,"1,408 sqft",https://www.zillow.com/homedetails/770-Page-Hill-Road-Holland-VT-05830/2093704924_zpid/,2009,"1,189,188 Acres", Mountain(s),{}," Chalet,Log Cabin", No, 1
0,"$365,000", 3,3 ba,"2,974 sqft",https://www.zillow.com/homedetails/2179-Route-5-Brattleboro-VT-05301/2077133800_zpid/,1999,"583,704 Acres",{},{}, Contemporary, No, 2
0,"$325,000", 4,3 ba,"2,188 sqft",https://www.zillow.com/homedetails/159-Doe-Hill-Rd-Newbury-VT-05051/92008505_zpid/,1837,"148,104 Acres", Mountain(s),{}, Colonial, No, 2
0,"$849,000", 5,2 ba,"3,668 sqft",https://www.zillow.com/homedetails/484-Halladay-Rd-Middlebury-VT-05753/75411953_zpid/,1825,"492,228 Acres", Mountain(s),{}, Farmhouse, No, 0
0,"$179,000", 2,2 ba,"1,517 sqft",https://www.zillow.com/homedetails/2800-Us-Highway-5-Sutton-VT-05867/2076626515_zpid/,2008,"566,280 Acres",{},{}, Contemporary, No, 0
0,"$349,900", 4,3 ba,"2,630 sqft",https://www.zillow.com/homedetails/1169-Harwood-Hill-Rd-Bennington-VT-05201/75418538_zpid/,1925,"50,530 Acres",{}, Yes, Colonial, No, 2
0,"$3,850,000", 4,4 ba,"6,200 sqft",https://www.zillow.com/homedetails/393-Warren-Hill-Rd-Stowe-VT-05672/227730656_zpid/,1990,"454,331 Acres", Mountain(s),{}," Adirondack,Contemporary,Modern Architecture", No, 3
0,"$135,000", 5,4 ba,"4,038 sqft",https://www.zillow.com/homedetails/3833-Brandon-Mountain-Rd-Rochester-VT-05767/75482471_zpid/,1900,"348,044 Acres",{},{}, Farmhouse, No, 2
0,"$69,900", 2,2 ba,"1,008 sqft",https://www.zillow.com/homedetails/423-Route-114-Norton-VT-05907/2076635572_zpid/,1900,"10,890 Acres",{},{}, Cape, No, 1
0,"$59,000", 3,1 ba,"1,428 sqft",https://www.zillow.com/homedetails/423-Main-St-Glover-VT-05842/92016246_zpid/,1850,"662,112 Acres",{}, Yes, Cape, No, 1
0,"$230,000", 3,2 ba,"1,920 sqft",https://www.zillow.com/homedetails/202-Morgan-Rd-White-River-Junction-VT-05001/303989478_zpid/,1978,"$5,341/yr",{},{}, Raised Ranch, No, 0
0,"$386,500", 3,3 ba,"2,097 sqft",https://www.zillow.com/homedetails/109-Highland-Dr-Huntington-VT-05462/220857364_zpid/,2000,$540/yr,{},{}, Cape, No, 2
0,"$197,000", 4,2 ba,"1,560 sqft",https://www.zillow.com/homedetails/195-Elliot-St-Brattleboro-VT-05301/2077163430_zpid/,1870,"5,227 Acres",{},{}, Cape, No, 2
0,"$165,000", 4,2 ba,"1,120 sqft",https://www.zillow.com/homedetails/3186-Route-100-Wardsboro-VT-05355/235263452_zpid/,1960,"108,900 Acres",{},{}, Chalet, No, 0
0,"$149,000", 1,1 ba,692 sqft,https://www.zillow.com/homedetails/438-Old-Bradley-Rd-St-Johnsbury-VT-05819/81602204_zpid/,1986,"675,616 Acres",{},{}, Log Cabin, No, 0
0,"$220,000", 2,2 ba,"1,636 sqft",https://www.zillow.com/homedetails/6272-State-Route-125-Addison-VT-05491/91992619_zpid/,1920,"130,680 Acres"," Mountain(s), Water", Yes, Other, No, 1
0,"$124,900", 3,1 ba,960 sqft,https://www.zillow.com/homedetails/197-Dewing-Rd-Franklin-VT-05457/2076571256_zpid/,1945,"8,712 Acres"," Mountain(s), Water", Yes, Cottage/Camp, No, 0
0,"$280,000", 2,1 ba,988 sqft,https://www.zillow.com/homedetails/1581-Happy-Hollow-Rd-S-Royalton-VT-05068/217745607_zpid/,1982,"1,219,680 Acres",{},{}, Bungalow, No, 4
0,"$425,000", 2,2 ba,"2,476 sqft",https://www.zillow.com/homedetails/414-Notch-Rd-Middlesex-VT-05602/92029821_zpid/,1978,"152,460 Acres",{},{}," Contemporary,Ranch", No, 1
0,"$199,000", 3,2 ba,"1,288 sqft",https://www.zillow.com/homedetails/3074-State-Route-10-Chester-VT-05143/75489640_zpid/,1996,"87,120 Acres",{},{}, Other, No, 1
0,"$349,000", 3,3 ba,"2,195 sqft",https://www.zillow.com/homedetails/662-Main-St-Chester-VT-05143/92050857_zpid/,1900,"21,780 Acres",{},{}, Cape, No, 1
0,"$5,995,000", 6,9 ba,"9,303 sqft",https://www.zillow.com/homedetails/112-Thomas-Pasture-Lane-Stowe-VT-05672/227731807_zpid/,2015,$700/mo, Mountain(s), Yes," Contemporary,Arts and Crafts", No, 5
0,"$150,000", 3,2 ba,"1,346 sqft",https://www.zillow.com/homedetails/1106-North-Ave-Burlington-VT-05408/110240579_zpid/,1888,No Data,{},{}," Colonial,Victorian", No, 0
0,"$279,000", 4,3 ba,"2,106 sqft",https://www.zillow.com/homedetails/401-Brook-Rd-Chelsea-VT-05038/75446336_zpid/,1990,"130,680 Acres",{},{}, Cape, No, 2
0,"$360,000", 3,2 ba,"3,197 sqft",https://www.zillow.com/homedetails/11-Maple-St-North-Springfield-VT-05150/75483876_zpid/,1970,"87,120 Acres",{},{}," Cape,Colonial", No, 2
0,"$360,000", 3,2 ba,"3,197 sqft",https://www.zillow.com/homedetails/11-Maple-St-North-Springfield-VT-05150/75483876_zpid/,1970,"87,120 Acres",{},{}," Cape,Colonial", No, 2
0,"$349,900", 4,3 ba,"3,600 sqft",https://www.zillow.com/homedetails/12-Sunny-Meadow-Ln-Wolcott-VT-05680/92006305_zpid/,2006,"118,483 Acres",{},{}, Colonial, No, 2
0,"$339,000", 3,1 ba,"1,080 sqft",https://www.zillow.com/homedetails/186-N-Shore-Rd-Isle-La-Motte-VT-05463/2097238767_zpid/,1959,"28,314 Acres", Water, Yes, Cottage/Camp, No, 0
0,"$410,000", 3,3 ba,"3,056 sqft",https://www.zillow.com/homedetails/935-Scott-Rd-Franklin-VT-05457/75436452_zpid/,2001,"89,298 Acres", Mountain(s),{}, Colonial, No, 4
0,"$1,275,000", 4,5 ba,"4,454 sqft",https://www.zillow.com/homedetails/921-River-Ridge-Rd-Hyde-Park-VT-05655/92004345_zpid/,2004,"$1,000/yr", Mountain(s), Yes," Modern Architecture,Craftsman,Post and Beam", No, 3
0,"$595,000", 4,4 ba,"3,638 sqft",https://www.zillow.com/homedetails/88-Monument-Ave-Bennington-VT-05201/75419722_zpid/,1800,"135,036 Acres",{},{}," Antique,Colonial", No, 2
0,"$487,000", 5,5 ba,"4,122 sqft",https://www.zillow.com/homedetails/295-Lochlea-Ln-Wells-VT-05774/115790070_zpid/,1900,"60,984 Acres"," Mountain(s), Water", Yes, Contemporary, No, 2
0,"$180,000", 3,2 ba,"1,636 sqft",https://www.zillow.com/homedetails/98-Elm-St-Hardwick-VT-05843/91998550_zpid/,1865,"10,890 Acres",{},{}, Colonial, No, 1
0,"$910,000", 4,3 ba,"3,929 sqft",https://www.zillow.com/homedetails/1075-Grandey-Rd-Vergennes-VT-05491/2076570724_zpid/,2005,"6,738,732 Acres", Mountain(s), Yes, Contemporary, No, 2
0,"$197,000", 3,2 ba,"1,773 sqft",https://www.zillow.com/homedetails/64-Pleasant-St-East-Hardwick-VT-05836/227749818_zpid/,1880,"5,227 Acres",{},{}, Cape, No, 2
0,"$275,000", 3,2 ba,"2,344 sqft",https://www.zillow.com/homedetails/210-Hurlbut-Hill-Ln-Waterford-VT-05819/75427417_zpid/,1980,"448,668 Acres",{},{}, Raised Ranch, No, 4
0,"$495,000", 3,2 ba,"2,000 sqft",https://www.zillow.com/homedetails/420-Steendom-Ln-Lyndonville-VT-05851/81600200_zpid/,2000,"5,161,860 Acres",{},{}, Cottage/Camp, No, 0
0,"$675,000", 3,3 ba,"2,654 sqft",https://www.zillow.com/homedetails/5491-State-Route-315-West-Rupert-VT-05776/2076637985_zpid/,1905,"235,660 Acres", Mountain(s),{}, Colonial, No, 2
0,"$179,900", 3,2 ba,"1,698 sqft",https://www.zillow.com/homedetails/161-Church-St-Rutland-VT-05701/92022615_zpid/,1954,"14,375 Acres", Water, Yes, Ranch, No, 1
0,"$950,000", 4,3 ba,"4,309 sqft",https://www.zillow.com/homedetails/738-Stage-Rd-South-Pomfret-VT-05067/115811662_zpid/,1780,"901,256 Acres",{},{}," Antique,Cape,Farmhouse,Post and Beam", No, 2
0,"$219,000", 3,2 ba,"1,404 sqft",https://www.zillow.com/homedetails/1246-Bricketts-Crossing-Rd-Cabot-VT-05467/75472239_zpid/,1992,"500,940 Acres", Mountain(s),{},{}, No, 2
0,"$289,000", 2,1 ba,950 sqft,https://www.zillow.com/homedetails/2895-Bridgewater-Hill-Rd-Bridgewater-VT-05034/2077360019_zpid/,1998,"92,783 Acres",{}, Yes, Cottage/Camp, No, 0
0,"$629,000", 3,3 ba,"2,685 sqft",https://www.zillow.com/homedetails/153-Upper-Pasture-Rd-Norwich-VT-05055/75481333_zpid/,1984,"444,312 Acres",{},{}, Cape, No, 2
0,"$370,000", 2,2 ba,"1,636 sqft",https://www.zillow.com/homedetails/60-Red-Cedar-Ln-Shelburne-VT-05482/220864255_zpid/,1983,$35/mo,{},{}, Gambrel, No, 1
0,"$296,000", 3,2 ba,"1,472 sqft",https://www.zillow.com/homedetails/1430-Cahoon-Farm-Rd-West-Danville-VT-05873/91997910_zpid/,1974,"479,160 Acres",{}, Yes, Log Cabin, No, 0
0,"$219,900", 3,2 ba,"2,760 sqft",https://www.zillow.com/homedetails/73-Phillips-St-Rutland-VT-05701/92019427_zpid/,1955,"34,412 Acres",{},{}, Contemporary, No, 2
0,"$481,000", 5,4 ba,"1,792 sqft",https://www.zillow.com/homedetails/1847-Scales-Hill-Rd-Washington-VT-05675/115789480_zpid/,1984,"723,096 Acres",{},{}, Chalet, No, 1
0,"$59,900", 1,-- ba,500 sqft,https://www.zillow.com/homedetails/335-Jordan-Rd-Springfield-VT-05156/248265922_zpid/,1950,"78,408 Acres",{},{}, Cottage/Camp, No, 0
0,"$145,000", 3,2 ba,"1,702 sqft",https://www.zillow.com/homedetails/210-Collins-Ln-North-Clarendon-VT-05759/94939932_zpid/,1969,"78,408 Acres",{},{}," Cabin,Cottage/Camp,Other", No, 0
0,"$279,000", 5,2 ba,"2,600 sqft",https://www.zillow.com/homedetails/89-Main-St-Rupert-VT-05768/2107212278_zpid/,1850,"165,092 Acres",{},{}, Colonial, No, 2
0,"$299,000", 2,1 ba,624 sqft,https://www.zillow.com/homedetails/230-Blockhouse-Rd-Greensboro-VT-05841/2121817307_zpid/,1935,"61,855 Acres", Water, Yes, Cottage/Camp, No, 0
0,"$550,000", 3,3 ba,"1,872 sqft",https://www.zillow.com/homedetails/348-Chapin-Rd-1-Essex-Junction-VT-05452/2076569051_zpid/,No Data,"348,480 Acres",{}, Yes, Colonial, Yes, 2
0,"$469,000", 3,3 ba,"1,950 sqft",https://www.zillow.com/homedetails/24-Brook-Dr-Burlington-VT-05408/12650557_zpid/,1983,"18,600 Acres",{},{}, Cape, No, 2
0,"$449,000", 3,2 ba,"1,646 sqft",https://www.zillow.com/homedetails/10-Ives-Rd-Wilmington-VT-05363/235265535_zpid/,2012,"13,939 Acres", Mountain(s),{}," Chalet,Contemporary", No, 1
0,"$155,000", 3,1 ba,"1,736 sqft",https://www.zillow.com/homedetails/1297-Scotch-Hill-Rd-Fair-Haven-VT-05743/75461673_zpid/,1920,"653,400 Acres",{},{}, Farmhouse, No, 2
0,"$275,000", 5,4 ba,"1,821 sqft",https://www.zillow.com/homedetails/463-Main-St-Cavendish-VT-05143/217735511_zpid/,1830,"10,890 Acres",{},{}," Antique,Greek Revival,Historic Vintage", No, 0
0,"$239,000", 2,2 ba,800 sqft,https://www.zillow.com/homedetails/312-W-Jamaica-Rd-Stratton-VT-05360/115809571_zpid/,2001,"17,860 Acres",{},{}, Ranch, No, 1
0,"$169,000", 3,1 ba,"2,059 sqft",https://www.zillow.com/homedetails/115-Fenton-Rd-St-Johnsbury-VT-05819/118894546_zpid/,1850,"165,528 Acres",{},{}, Cape, No, 2
0,"$169,900", 3,2 ba,"1,716 sqft",https://www.zillow.com/homedetails/416-River-St-Fair-Haven-VT-05743/75461578_zpid/,1884,"28,314 Acres",{},{}, Cape, No, 4
0,"$125,000", 2,1 ba,864 sqft,https://www.zillow.com/homedetails/5051-State-Route-103-N-Chester-VT-05143/2076567064_zpid/,1967,"12,197 Acres",{},{}, Cape, No, 2
0,"$199,000", 3,2 ba,"1,200 sqft",https://www.zillow.com/homedetails/2368-Kenniston-Hill-Rd-Wheelock-VT-05866/2093631158_zpid/,2002,"1,067,220 Acres", Mountain(s),{}, Cottage/Camp, No, 1
0,"$399,000", 3,1 ba,"1,930 sqft",https://www.zillow.com/homedetails/872-Falls-Rd-Shelburne-VT-05482/220864506_zpid/,1930,"20,473 Acres",{},{}, Farmhouse, No, 1
0,"$150,000", 1,1 ba,480 sqft,https://www.zillow.com/homedetails/3559-State-Route-58-E-Lowell-VT-05847/303860833_zpid/,1980,"4,181,760 Acres",{},{}, Cottage/Camp, No, 0
0,"$189,900", 7,4 ba,"3,710 sqft",https://www.zillow.com/homedetails/91-Prospect-St-Northfield-VT-05663/250871928_zpid/,1900,"21,780 Acres",{},{}, Victorian, No, 1
0,"$285,000", 3,1 ba,"1,584 sqft",https://www.zillow.com/homedetails/3390-State-Highway-100-Hyde-Park-VT-05655/92008199_zpid/,1900,"6,037,416 Acres", Mountain(s), Yes, Farmhouse, No, 2
0,"$125,000", 3,1 ba,"1,100 sqft",https://www.zillow.com/homedetails/762-Hampshire-Hill-Rd-Worcester-VT-05682/2077802649_zpid/,1989,"21,780 Acres", Mountain(s),{}," Bungalow,Cape,Cottage/Camp", No, 6
0,"$119,900", 3,2 ba,"1,768 sqft",https://www.zillow.com/homedetails/59-Elm-Hill-St-Springfield-VT-05156/2078128977_zpid/,1942,"7,405 Acres",{},{}, Arts and Crafts, No, 0
0,"$148,000", 2,1 ba,936 sqft,https://www.zillow.com/homedetails/663-Old-Center-Rd-Saint-Johnsbury-VT-05819/2076567301_zpid/,1932,"63,162 Acres",{},{}, Bungalow, No, 1
0,"$779,000", 3,4 ba,"2,800 sqft",https://www.zillow.com/homedetails/110-Cape-Cod-Rd-Stowe-VT-05672/115799387_zpid/,1978,"87,991 Acres", Mountain(s),{}," Other,Raised Ranch", No, 2
0,"$300,000", 3,3 ba,"1,660 sqft",https://www.zillow.com/homedetails/3-Lower-Notch-Rd-Bristol-VT-05443/2076637264_zpid/,No Data,"87,120 Acres",{},{}, Ranch, Yes, 2
0,"$89,900", 3,2 ba,"1,508 sqft",https://www.zillow.com/homedetails/1033-Portland-St-Saint-Johnsbury-VT-05819/2076567111_zpid/,1900,"21,780 Acres",{},{}, Ranch, No, 4
0,"$219,900", 3,2 ba,"1,408 sqft",https://www.zillow.com/homedetails/2375-Island-Pond-Rd-East-Haven-VT-05837/2077706073_zpid/,1985,"458,687 Acres",{},{}, Ranch, No, 1
0,"$295,000", 3,2 ba,"2,147 sqft",https://www.zillow.com/homedetails/139-Toll-House-Rd-Newbury-VT-05051/92008535_zpid/,1835,"123,710 Acres"," Mountain(s), Water", Yes," Carriage,Historic Vintage,New Englander", No, 1
0,"$459,000", 4,3 ba,"3,102 sqft",https://www.zillow.com/homedetails/1579-Broad-Brook-Rd-South-Royalton-VT-05068/75482980_zpid/,1820,"435,600 Acres",{},{}, Colonial, No, 0
0,"$149,000", 2,1 ba,"1,001 sqft",https://www.zillow.com/homedetails/313-Montgomery-Rd-East-Berkshire-VT-05447/224236875_zpid/,1940,"9,627 Acres",{},{}, Ranch, No, 1
0,"$475,000", 5,3 ba,"2,735 sqft",https://www.zillow.com/homedetails/64-Two-Brook-Dr-Wilmington-VT-05363/235267837_zpid/,2013,"10,890 Acres",{},{}, Contemporary, No, 2
